,Name,Address,AvgRatingText,TotalReviews,TotalFavourites,TotalViews,TotalPictures,TotalCheckIns,Url,Latitude,Longitude,ResCreatedOn,điểm chất lượng,điểm phục vụ,điểm không gian,điểm giá cả,điểm vị trí,thời gian mở,thời gian đóng,khoảng giá,Tổng bình luận,bình luyện tuyệt vời,bình luận tốt,bình luận trung bình,bình luận kém,Tên nhà hàng,Khoảng giá khác,Thời gian hoạt động,Thích hợp,Giờ nhận khách cuối,Thời gian chuẩn bị,Nghỉ lễ,Thể loại,Sức chứa,Phong cách ẩm thực,Phù hợp với,Phục vụ các món,Website,Có wifi,Có giao hàng,Có máy lạnh & điều hòa,Cho mua về,Trả bằng thẻ,Có chỗ đậu ôtô,Nên đặt trước,Có bàn ngoài trời,Có phòng riêng,Có chỗ chơi cho trẻ em,Có karaoke,Giữ xe máy miễn phí,Tip cho nhân viên,Có khu vực hút thuốc,Có thẻ thành viên,Có xuất hóa đơn đỏ,Có hỗ trợ hội thảo,Có lò sưởi,Có hỗ trợ người khuyết tật,Có chiếu bóng đá,Có nhạc sống
0,Bánh Tôm Hồ Tây,"1 Thanh Niên, P. Yên Phụ (Đối Diện Chùa Trấn Quốc), Quận Tây Hồ, Hà Nội",5.9,149,0,0,415,0,/ha-noi/banh-tom-ho-tay,21.047404,105.83755,0001-12-31T17:00:00Z,7.2,6.6,5.5,5.2,4.9,09:00,21:00,80.000đ - 132.000đ,149.0,2.0,65.0,41.0,41.0,banh-tom-ho-tay,,09:00 - 21:00,"['Buổi  trưa', 'Buổi xế', 'Buổi  tối']",21:30,Khoảng 3 - 5 phút,Các ngày lễ trong năm,['Nhà hàng'],1000 người lớn,"['Món Việt', 'Món Bắc', 'Hà Nội']","['Đãi tiệc', 'Ăn gia đình', 'Hẹn hò', 'Uống bia - Nhậu', 'Họp nhóm', 'Tiếp khách', 'Tiệc ngoài trời', 'Tổ chức tiệc cưới', 'Ngắm cảnh', 'Takeaway - Mang về', 'Du lịch', 'Nghe nhạc', 'Tiếp khách sang trọng']",,www.banhtomhotay.com,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
1,Vạn Tuế - Nhà Hàng Tiệc Cưới,"23 Thái Thịnh, Quận Đống Đa, Hà Nội",6.7,29,0,0,146,0,/ha-noi/van-tue,21.00572,105.822502,0001-12-31T17:00:00Z,6.9,6.9,6.8,6.8,6.0,06:00,23:00,200.000đ - 330.000đ,29.0,1.0,17.0,6.0,5.0,van-tue,,06:00 - 23:00,"['Buổi sáng', 'Buổi  trưa', 'Buổi xế', 'Buổi  tối']",10:30 PM,Khoảng 10 - 15 phút,Các ngày lễ trong năm,"['Nhà hàng', 'Tiệc cưới/Hội nghị']",500 người lớn,"['Món Việt', 'Món Á']","['Đãi tiệc', 'Ăn gia đình', 'Uống bia - Nhậu', 'Họp nhóm', 'Tiếp khách', 'Ăn chay', 'Tổ chức tiệc cưới', 'BBQ - Món Nướng', 'Ngắm cảnh', 'Nghe nhạc', 'Tiếp khách sang trọng']","['Thịt Gà', 'Tôm', 'Cua - Ghẹ', 'Thịt Bò', 'Thịt Heo', 'Hải sản', 'Bào Ngư', 'Cá', 'Cháo', 'Súp', 'Nghêu - Sò - Ốc', 'Mực', 'Thịt Vịt', 'Salad', 'Chả giò', 'Gỏi', 'Món chay', 'Đặc sản vùng', 'Ăn vặt - Ăn nhẹ', 'Rượu vang', 'Thức uống', 'Bia', 'Nước ngọt', 'Trái cây']",www.vantue.com.vn,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
2,Gà 36 - Linh Đàm,"36 Nguyễn Hữu Thọ (đường đôi Linh Đàm), Quận Hoàng Mai, Hà Nội",5.5,13,0,0,11,0,/ha-noi/ga-36-linh-dam,20.971149,105.83682,0001-12-31T17:00:00Z,5.9,5.8,5.8,5.5,4.9,10:30,22:00,70.000đ - 165.000đ,13.0,0.0,4.0,5.0,4.0,ga-36-linh-dam,,16:00 - 22:00 | 10:30 - 14:00,"['Buổi  trưa', 'Buổi xế', 'Buổi  tối']",10:30 PM,Khoảng 10 - 15 phút,Các ngày lễ trong năm,['Nhà hàng'],200 người lớn,['Món Việt'],"['Ăn gia đình', 'Uống bia - Nhậu']","['Thịt Gà', 'Gà ta']",www.ga36.vn,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
3,Wabi Sabi - Lẩu Nhật Bản,"15 Tô Hiến Thành, Quận Hai Bà Trưng, Hà Nội",6.2,16,0,0,81,0,/ha-noi/wabi-sabi,21.013518,105.851115,0001-12-31T17:00:00Z,7.1,6.7,6.1,6.1,4.8,10:30,22:30,100.000đ - 220.000đ,16.0,0.0,8.0,5.0,3.0,wabi-sabi,,17:30 - 22:30 | 10:30 - 02:30,"['Buổi  trưa', 'Buổi  tối']",09:30 PM,Khoảng 3 - 5 phút,Các ngày lễ trong năm,['Nhà hàng'],200 người lớn,['Món Nhật'],"['Đãi tiệc', 'Ăn gia đình', 'Hẹn hò', 'Họp nhóm', 'Tiếp khách', 'Ngắm cảnh', 'Du lịch', 'Nghe nhạc', 'Tiếp khách sang trọng']","['Hải sản', 'Lẩu', 'Sushi & Sashimi']",www.wabisabi.com.vn,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
4,Miwa - Ẩm thực Nhật,"31 Láng Hạ, Quận Ba Đình, Hà Nội",7.1,9,0,0,49,0,/ha-noi/miwa,21.019595,105.817335,0001-12-31T17:00:00Z,7.7,7.4,7.4,7.3,5.7,11:00,22:00,100.000đ - 330.000đ,9.0,1.0,5.0,3.0,0.0,miwa,,17:00 - 22:00 | 11:00 - 14:00,"['Buổi sáng', 'Buổi  trưa', 'Buổi xế', 'Buổi  tối']",09:30 PM,Khoảng 5 - 10 phút,Các ngày lễ trong năm,['Nhà hàng'],50 người lớn,['Món Nhật'],"['Đãi tiệc', 'Ăn gia đình', 'Hẹn hò', 'Họp nhóm', 'Tiếp khách', 'Giao tận nơi', 'Takeaway - Mang về', 'Du lịch', 'Nghe nhạc', 'Tiếp khách sang trọng']","['Thịt Bò', 'Hải sản', 'Lẩu', 'Sushi & Sashimi']",www.sushimiwa.com,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
5,Vườn Ẩm Thực Rắn Ráo,"10, Tổ 8 Lệ Mật, Việt Hưng, Quận Long Biên, Hà Nội",8.0,1,0,0,25,0,/ha-noi/vuon-am-thuc-ran-rao,21.053364,105.901015,0001-12-31T17:00:00Z,8.0,8.0,8.0,8.0,8.0,10:00,22:00,150.000đ - 330.000đ,1.0,0.0,1.0,0.0,0.0,vuon-am-thuc-ran-rao,,10:00 - 22:00,"['Buổi sáng', 'Buổi  trưa', 'Buổi xế', 'Buổi  tối']",09:30 PM,Khoảng 10 - 20 phút,Các ngày lễ trong năm,['Nhà hàng'],100 người lớn,['Món Việt'],"['Đãi tiệc', 'Ăn gia đình', 'Hẹn hò', 'Uống bia - Nhậu', 'Họp nhóm', 'Tiếp khách', 'Tiệc ngoài trời', 'Ngắm cảnh', 'Takeaway - Mang về', 'Du lịch', 'Nghe nhạc', 'Tiếp khách sang trọng', 'Ăn bình dân - Quán Cóc']","['Lẩu', 'Đặc sản rừng', 'Đặc sản vùng', 'Rượu vang', 'Thức uống', 'Bia', 'Nước ngọt']",lemat.vn - lemat.com.vn - ranrao.vn - ranrao.com.vn,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6,Snowz The Japanese - Buffet,"B58 Nguyễn Thị Định, Quận Cầu Giấy, Hà Nội",7.1,10,0,0,23,0,/ha-noi/snowz-the-japanese,21.009783,105.804262,0001-12-31T17:00:00Z,8.2,7.4,7.4,7.1,5.4,09:00,23:00,300.000đ - 550.000đ,10.0,0.0,7.0,3.0,0.0,snowz-the-japanese,,09:00 - 23:00,"['Buổi  trưa', 'Buổi  tối']",09:30 PM,Khoảng 15 - 30 phút,Các ngày lễ trong năm,['Nhà hàng'],200 người lớn,['Món Nhật'],"['Đãi tiệc', 'Ăn gia đình', 'Hẹn hò', 'Họp nhóm', 'Tiếp khách', 'Ngắm cảnh', 'Takeaway - Mang về', 'Du lịch', 'Nghe nhạc', 'Tiếp khách sang trọng']","['Hải sản', 'Thức uống']",www.snowz.com.vn,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
7,Đèn Lồng Đỏ - Ẩm Thực Trung Hoa,"19 Nguyễn Công Hoan, Quận Ba Đình, Hà Nội",7.6,12,0,0,67,0,/ha-noi/den-long-do-nguyen-cong-hoan,21.027494,105.812569,0001-12-31T17:00:00Z,8.1,7.7,7.6,7.4,7.3,10:00,23:00,100.000đ - 165.000đ,12.0,1.0,7.0,4.0,0.0,den-long-do-nguyen-cong-hoan,,10:00 - 23:00,"['Buổi sáng', 'Buổi  trưa', 'Buổi xế', 'Buổi  tối']",10:30 PM,Khoảng 15 - 20 phút,Các ngày lễ trong năm,['Nhà hàng'],200 người lớn,"['Món Việt', 'Món Trung Hoa']","['Đãi tiệc', 'Ăn gia đình', 'Hẹn hò', 'Họp nhóm', 'Tiếp khách', 'Ăn chay', 'Ngắm cảnh', 'Du lịch', 'Nghe nhạc']","['Thịt Gà', 'Tôm', 'Cua - Ghẹ', 'Thịt Bò', 'Thịt Heo', 'Hải sản', 'Bào Ngư', 'Vi Cá', 'Món nước', 'Mì', 'Cá', 'Cháo', 'Súp', 'Nghêu - Sò - Ốc', 'Mực', 'Chả giò', 'Gỏi', 'Dimsum', 'Đặc sản vùng', 'Ăn vặt - Ăn nhẹ', 'Rượu vang', 'Thức uống', 'Bia', 'Nước ngọt', 'Trái cây', 'Yến sào']",www.denlongdo.com,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
8,Phố Biển - Tràng Thi,"14 Tràng Thi, Quận Hoàn Kiếm, Hà Nội",7.4,13,0,0,42,0,/ha-noi/hai-san-pho-bien,21.026974,105.848309,0001-12-31T17:00:00Z,8.2,7.7,7.5,7.2,6.4,10:00,22:00,100.000đ - 550.000đ,13.0,0.0,10.0,2.0,1.0,hai-san-pho-bien,,10:00 - 14:00 | 17:00 - 22:00,"['Buổi sáng', 'Buổi  trưa', 'Buổi xế', 'Buổi  tối']",09:30 PM,Khoảng 10 - 15 phút,Các ngày lễ trong năm,['Nhà hàng'],400 người lớn,['Món Việt'],"['Đãi tiệc', 'Ăn gia đình', 'Hẹn hò', 'Uống bia - Nhậu', 'Họp nhóm', 'Tiếp khách', 'Ngắm cảnh', 'Du lịch', 'Nghe nhạc']","['Tôm', 'Cua - Ghẹ', 'Hải sản', 'Món nước', 'Mì', 'Cháo', 'Cá', 'Nghêu - Sò - Ốc', 'Súp', 'Mực', 'Salad', 'Chả giò', 'Sinh tố - Nước ép', 'Gỏi', 'Ăn vặt - Ăn nhẹ', 'Rượu vang', 'Thức uống', 'Bia', 'Nước ngọt', 'Trái cây']",www.phobien.com.vn,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
9,Buffet Việt - Tăng Bạt Hổ,"1A Tăng Bạt Hổ, Quận Hai Bà Trưng, Hà Nội",6.5,23,0,0,56,0,/ha-noi/buffet-viet-tang-bat-ho,21.018005,105.858732,0001-12-31T17:00:00Z,7.2,6.9,6.4,6.1,5.9,09:30,22:00,255.000đ - 395.000đ,23.0,0.0,13.0,6.0,4.0,buffet-viet-tang-bat-ho,,09:30 - 22:00,"['Buổi  trưa', 'Buổi xế', 'Buổi  tối']",09:30 PM,Khoảng 2 - 3 phút,Các ngày lễ trong năm,"['Nhà hàng', 'Buffet']",150 người lớn,['Món Việt'],"['Đãi tiệc', 'Ăn gia đình', 'Hẹn hò', 'Họp nhóm', 'Buffet']","['Thịt Gà', 'Tôm', 'Cua - Ghẹ', 'Thịt Bò', 'Bún', 'Thịt Heo', 'Hải sản', 'Món nước', 'Mì', 'Cá', 'Nghêu - Sò - Ốc', 'Miến', 'Mực', 'Trái cây']",www.buffetviet.vn,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
